method,parameter,repetition,runtime_s,mean_error_rad,max_mean_error_rad,l1_error,max_l1_error,min_evaluated_density,max_normalization_error
FIGFAN,63,6,0.0014885830000821443,0.0003704273522117971,0.0008321199856204942,0.00010972932707150824,0.00011680771646700233,4.3487822447352e-06,4.440892098500626e-16
FIGFDN,63,6,0.0014885830000821443,0.0003704273522113037,0.0008321199856173855,0.00010972895137141804,0.00011680798873064744,4.348701315285157e-06,3.3306690738754696e-16
FIGFAN,63,7,0.001446223000016289,0.0003704273522117971,0.0008321199856204942,0.00010972932707150824,0.00011680771646700233,4.3487822447352e-06,4.440892098500626e-16
FIGFDN,63,7,0.001446223000016289,0.0003704273522113037,0.0008321199856173855,0.00010972895137141804,0.00011680798873064744,4.348701315285157e-06,3.3306690738754696e-16
FIGFAN,63,8,0.0014803770000071381,0.0003704273522117971,0.0008321199856204942,0.00010972932707150824,0.00011680771646700233,4.3487822447352e-06,4.440892098500626e-16
FIGFDN,63,8,0.0014803770000071381,0.0003704273522113037,0.0008321199856173855,0.00010972895137141804,0.00011680798873064744,4.348701315285157e-06,3.3306690738754696e-16
FIGFAN,63,9,0.0014271070000404507,0.0003704273522117971,0.0008321199856204942,0.00010972932707150824,0.00011680771646700233,4.3487822447352e-06,4.440892098500626e-16
FIGFDN,63,9,0.0014271070000404507,0.0003704273522113037,0.0008321199856173855,0.00010972895137141804,0.00011680798873064744,4.348701315285157e-06,3.3306690738754696e-16
FIGFAN,63,10,0.0014593180000019856,0.0003704273522117971,0.0008321199856204942,0.00010972932707150824,0.00011680771646700233,4.3487822447352e-06,4.440892098500626e-16
FIGFDN,63,10,0.0014593180000019856,0.0003704273522113037,0.0008321199856173855,0.00010972895137141804,0.00011680798873064744,4.348701315285157e-06,3.3306690738754696e-16
FIGFAN,63,11,0.0015594549998922957,0.0003704273522117971,0.0008321199856204942,0.00010972932707150824,0.00011680771646700233,4.3487822447352e-06,4.440892098500626e-16
FIGFDN,63,11,0.0015594549998922957,0.0003704273522113037,0.0008321199856173855,0.00010972895137141804,0.00011680798873064744,4.348701315285157e-06,3.3306690738754696e-16
FIGFAN,63,12,0.0014532769999959783,0.0003704273522117971,0.0008321199856204942,0.00010972932707150824,0.00011680771646700233,4.3487822447352e-06,4.440892098500626e-16
FIGFDN,63,12,0.0014532769999959783,0.0003704273522113037,0.0008321199856173855,0.00010972895137141804,0.00011680798873064744,4.348701315285157e-06,3.3306690738754696e-16
FIGFAN,63,13,0.0014327879999882498,0.0003704273522117971,0.0008321199856204942,0.00010972932707150824,0.00011680771646700233,4.3487822447352e-06,4.440892098500626e-16
FIGFDN,63,13,0.0014327879999882498,0.0003704273522113037,0.0008321199856173855,0.00010972895137141804,0.00011680798873064744,4.348701315285157e-06,3.3306690738754696e-16
FIGFAN,63,14,0.0015082790000633395,0.0003704273522117971,0.0008321199856204942,0.00010972932707150824,0.00011680771646700233,4.3487822447352e-06,4.440892098500626e-16
FIGFDN,63,14,0.0015082790000633395,0.0003704273522113037,0.0008321199856173855,0.00010972895137141804,0.00011680798873064744,4.348701315285157e-06,3.3306690738754696e-16
FIGFAN,63,15,0.0014392400000815542,0.0003704273522117971,0.0008321199856204942,0.00010972932707150824,0.00011680771646700233,4.3487822447352e-06,4.440892098500626e-16
FIGFDN,63,15,0.0014392400000815542,0.0003704273522113037,0.0008321199856173855,0.00010972895137141804,0.00011680798873064744,4.348701315285157e-06,3.3306690738754696e-16
FIGFAN,63,16,0.0014271579999558526,0.0003704273522117971,0.0008321199856204942,0.00010972932707150824,0.00011680771646700233,4.3487822447352e-06,4.440892098500626e-16
FIGFDN,63,16,0.0014271579999558526,0.0003704273522113037,0.0008321199856173855,0.00010972895137141804,0.00011680798873064744,4.348701315285157e-06,3.3306690738754696e-16
FIGFAN,63,17,0.001469477000000552,0.0003704273522117971,0.0008321199856204942,0.00010972932707150824,0.00011680771646700233,4.3487822447352e-06,4.440892098500626e-16
FIGFDN,63,17,0.001469477000000552,0.0003704273522113037,0.0008321199856173855,0.00010972895137141804,0.00011680798873064744,4.348701315285157e-06,3.3306690738754696e-16
FIGFAN,63,18,0.001418781999973362,0.0003704273522117971,0.0008321199856204942,0.00010972932707150824,0.00011680771646700233,4.3487822447352e-06,4.440892098500626e-16
FIGFDN,63,18,0.001418781999973362,0.0003704273522113037,0.0008321199856173855,0.00010972895137141804,0.00011680798873064744,4.348701315285157e-06,3.3306690738754696e-16
FIGFAN,63,19,0.0014674330000161717,0.0003704273522117971,0.0008321199856204942,0.00010972932707150824,0.00011680771646700233,4.3487822447352e-06,4.440892098500626e-16
FIGFDN,63,19,0.0014674330000161717,0.0003704273522113037,0.0008321199856173855,0.00010972895137141804,0.00011680798873064744,4.348701315285157e-06,3.3306690738754696e-16
FIGFAN,63,20,0.0014401109999653272,0.0003704273522117971,0.0008321199856204942,0.00010972932707150824,0.00011680771646700233,4.3487822447352e-06,4.440892098500626e-16
FIGFDN,63,20,0.0014401109999653272,0.0003704273522113037,0.0008321199856173855,0.00010972895137141804,0.00011680798873064744,4.348701315285157e-06,3.3306690738754696e-16
FIGFAN,63,21,0.0014843950000340556,0.0003704273522117971,0.0008321199856204942,0.00010972932707150824,0.00011680771646700233,4.3487822447352e-06,4.440892098500626e-16
FIGFDN,63,21,0.0014843950000340556,0.0003704273522113037,0.0008321199856173855,0.00010972895137141804,0.00011680798873064744,4.348701315285157e-06,3.3306690738754696e-16
